municipality,kd,document
Истра,0.05,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Лыткарино,0.05,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Лобня,0.05,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Звездный городок (ЗАТО),0.05,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Краснознаменск (ЗАТО),0.05,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Молодежный (ЗАТО),0.05,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Восход (ЗАТО),0.05,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Бронницы,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Богородский,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Волоколамский,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Воскресенск,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Дубна,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Егорьевск,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Зарайск,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Кашира,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Клин,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Коломна,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Лотошино,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Луховицы,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Можайский,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Орехово-Зуевский,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Электросталь,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Подольск,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Сергиево-Посадский,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Павловский Посад,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Рузский,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Серебряные Пруды,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Серпухов,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Ступино,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Талдомский,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Фрязино,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Чехов,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Шатура,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Шаховская,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
Черноголовка,0.01,"Постановление Правительства Московской области от 19.12.2025 № 1745, таблица 3 «Коэффициент доходности»"
